No,Status,Track,Title,PrimaryTech,Experience,Level
042,implemented-experimental,OS Fundamentals Lab,ウィンドウには番号がある？ HWNDを実際に見る,PowerShell / VBA / Win32 / .NET,短い実験で「ウィンドウには番号がある？ HWNDを実際に見る」を体験し、操作前後の状態やログの差を確認する。,深掘り
043,implemented-experimental,OS Fundamentals Lab,ウィンドウを動かして座標の変化をGetWindowRectで見る,PowerShell / VBA / Win32 / .NET,短い実験で「ウィンドウを動かして座標の変化をGetWindowRectで見る」を体験し、操作前後の状態やログの差を確認する。,深掘り
044,implemented-experimental,OS Fundamentals Lab,WM_CLOSEと強制終了は何が違う？,PowerShell / VBA / Win32 / .NET,短い実験で「WM_CLOSEと強制終了は何が違う」を体験し、操作前後の状態やログの差を確認する。,深掘り
045,implemented-experimental,OS Fundamentals Lab,WindowsのMessage Loopを小さなGUIで体験する,PowerShell / VBA / Win32 / .NET,短い実験で「WindowsのMessage Loopを小さなGUIで体験する」を体験し、操作前後の状態やログの差を確認する。,深掘り
046,implemented-experimental,OS Fundamentals Lab,UIスレッドを重い処理で止めると画面はなぜ固まる？,PowerShell / VBA / Win32 / .NET,短い実験で「UIスレッドを重い処理で止めると画面はなぜ固まる」を体験し、操作前後の状態やログの差を確認する。,深掘り
047,implemented-experimental,OS Fundamentals Lab,VBAのDoEventsでWindows Messageが処理される様子を見る,PowerShell / VBA / Win32 / .NET,短い実験で「VBAのDoEventsでWindows Messageが処理される様子を見る」を体験し、操作前後の状態やログの差を確認する。,深掘り
048,implemented-experimental,OS Fundamentals Lab,DoEvents中に同じボタンを押して再入問題を起こしてみる,PowerShell / VBA / Win32 / .NET,短い実験で「DoEvents中に同じボタンを押して再入問題を起こしてみる」を体験し、操作前後の状態やログの差を確認する。,深掘り
049,implemented-experimental,OS Fundamentals Lab,Process ID（PID）は何のためにある？,PowerShell / VBA / Win32 / .NET,短い実験で「Process ID（PID）は何のためにある」を体験し、操作前後の状態やログの差を確認する。,深掘り
050,implemented-experimental,OS Fundamentals Lab,1つのプロセスに複数Threadがあることを観察する,PowerShell / VBA / Win32 / .NET,短い実験で「1つのプロセスに複数Threadがあることを観察する」を体験し、操作前後の状態やログの差を確認する。,深掘り
051,implemented-experimental,OS Fundamentals Lab,逐次実行と並列実行を時間で比べる,PowerShell / VBA / Win32 / .NET,短い実験で「逐次実行と並列実行を時間で比べる」を体験し、操作前後の状態やログの差を確認する。,深掘り
